Text,Emotion,Sentiment
I feel intrigued today.,Curiosity,Neutral
thank you to my coach for your patience,Gratitude,Positive
Can't believe how abysmal the documentary turned out. 👎,Disappointment,Negative
"All is calm, sipping tea by the window.",Contentment,Positive
feeling absolutely delighted that my friend returned home safely,Joy,Positive
The campsite made my day clunkier. #thoughts,Disappointment,Negative
It was effective.,Joy,Positive
"Got the keyboard yesterday, it stopped responding again.",Disappointment,Negative
"Overall, the novel was pathetic.",Anger,Negative
I can see the good and the bad in graduating.,Ambivalence,Neutral
"The sound is crystal clear, worth every penny.",Joy,Positive
I thought the soundtrack was absolutely boring. 😞,Disappointment,Negative
Can you tell me where the nearest library is?,Curiosity,Neutral
He lied to my face and I'm fuming.,Anger,Negative
My mentor retired and left the city and I just feel numb.,Sadness,Negative
"Taking my time over a homemade breakfast, completely satisfied.",Contentment,Positive
OMG the new apartment turned out lovely!! ❤️,Excitement,Positive
Sending a huge thank you to my mentor for showing up for me.,Gratitude,Positive
Proud of myself because my daughter made the team.,Pride,Positive
Feeling depressed today.,Sadness,Negative
the website was average tbh,Ambivalence,Neutral
I can't believe how worthless the technician was.,Disappointment,Negative
Super hyped because we got the keys to our first home!,Excitement,Positive
I feel relaxed today.,Contentment,Positive
My heart feels heavy. My mentor retired and left the city.,Sadness,Negative
My dog died last night and I just feel numb. 😡,Sadness,Negative
Feeling lonely today.,Loneliness,Negative
"Honestly, pretty disappointed. 😢",Disappointment,Negative
The service was painfully slow.,Disappointment,Negative
The screen was worthless.,Disappointment,Negative
where do birds go during winter storms?,Curiosity,Neutral
Can't believe how shabby the view turned out. #life,Disgust,Negative
I bought this blender last week and it comes in three colours.,Neutral,Neutral
the latest headset made things slower,Disappointment,Negative
I read that the new policy applies to all employees!!,Neutral,Neutral
"Perfectly relaxed, reading in the garden.",Contentment,Positive
I'm never going back. The man spat on the pavement next to me. #update,Disgust,Negative
The lecture was relaxing but the event was really bad.,Ambivalence,Neutral
quiet moment: sitting by the fire with a book. life is good,Contentment,Positive
I sent the quote to the engineering department.,Neutral,Neutral
"Honestly, the dessert was pretty bland. #weekend",Disappointment,Negative
It is a black album.,Neutral,Neutral
The plane hit heavy turbulence and I'm shaking with fear.,Fear,Negative
Thank you to my neighbours for the wonderful advice.,Gratitude,Positive
The apartment is described in the manual.,Neutral,Neutral
Update: the toaster is nothing like the pictures. 😤,Disappointment,Negative
This book was full of problems.,Disappointment,Negative
The battery was not worth it.,Disappointment,Negative
The dentist appointment is at half past two tomorrow.,Neutral,Neutral
Forever grateful to my friends for your kindness!!,Gratitude,Positive
The support team was compassionate.,Joy,Positive
i bought this vacuum cleaner last week and it arrived earlier than promised,Joy,Positive
Best movie I've ever had! 😍,Joy,Positive
Today I'm curious.,Curiosity,Neutral
The play was yucky. 👎,Disgust,Negative
I read that our flight boards at gate twelve. #life,Neutral,Neutral
"Not clean at all, quite a letdown.",Disappointment,Negative
I can't believe how bad the tablet was. #today,Disappointment,Negative
"I'm worried sick, the layoffs are announced next week.",Fear,Negative
I bought this phone last week and it is available in two sizes.,Neutral,Neutral
This training made everything less reliable.,Disappointment,Negative
I sent the contract to the logistics department. #mood,Neutral,Neutral
The latest waiter made things easier. 👍,Joy,Positive
my brother works in marketing,Neutral,Neutral
the laptop was outstanding tbh,Joy,Positive
Honestly the laptop was not very sharp.,Disappointment,Negative
The summer ended and everyone went home and I just feel numb.,Sadness,Negative
This whole thing is just disabling.,Disappointment,Negative
"Worst haircut ever, avoid.",Disappointment,Negative
"Honestly, poor quality",Disappointment,Negative
"Honestly, pretty anguished. 😞",Sadness,Negative
"I'm thrilled, my sister passed her exams! What's next?",Excitement,Positive
This whole thing is just inconsiderate.,Anger,Negative
The driver made me furious.,Anger,Negative
I'm honestly unsure about this weekend.,Ambivalence,Neutral
"It charges in minutes, so impressed.",Joy,Positive
"Got the desk lamp yesterday, it makes my life so much easier.",Joy,Positive
Slow living at its best: doing a jigsaw puzzle by the lamp.,Contentment,Positive
Feeling so sad today because my grandfather passed away.,Sadness,Negative
"Perfectly relaxed, walking along the beach at sunset.",Contentment,Positive
"What a joyful celebration, I loved every minute.",Joy,Positive
The experience was degraded.,Disappointment,Negative
"So proud of everyone involved, the client loved our proposal.",Pride,Positive
The novel was really fine.,Ambivalence,Neutral
"honestly, pretty efficient",Joy,Positive
the show was not outstanding,Disappointment,Negative
I felt incapacitated today.,Disappointment,Negative
She gave a talk about urban gardening on Monday. #news,Neutral,Neutral
"Feeling blessed, I got into my dream university.",Gratitude,Positive
That was so broken!,Disappointment,Negative
"Great hotel, would buy again!",Joy,Positive
Trying to figure out how airplanes stay in the air!!,Curiosity,Neutral
"Nobody to share it with, scrolling through my phone with no one to text.",Loneliness,Negative
The novel was unacceptable but the film was fabulous. #thoughts,Ambivalence,Neutral
I bought this blender last week and it is made of stainless steel.,Neutral,Neutral
Everything felt immoral.,Disappointment,Negative
The software was slow and full of mistakes. 😤,Disappointment,Negative
This pasta was full of scratches.,Disappointment,Negative
Feeling comfortable about the deadline.,Contentment,Positive
"What a proud moment, we reached our fundraising goal.",Pride,Positive
"Grateful for everyone who helped, our baby took her first steps. #daily",Gratitude,Positive
The apartment was not dirty at all.,Joy,Positive
"Great trip, would buy again! #daily",Joy,Positive
The film was slow and full of glitches. #thoughts,Disappointment,Negative
"Honestly, i love this #weekend",Joy,Positive
"Yuck, the bathroom was filthy.",Disgust,Negative
Definitely awesome: the charger.,Joy,Positive
"Feeling broken, my relationship ended. #life",Sadness,Negative
The journey was not frustrating at all.,Joy,Positive
The battery was really top notch. #mood,Joy,Positive
I really hope the test results goes well.,Hope,Positive
I felt gentle today.,Contentment,Positive
Can't believe how very good the charger turned out.,Joy,Positive
Can someone tell me about the journey?,Curiosity,Neutral
Is the library open today? #thoughts,Curiosity,Neutral
The manager was beyond frustrating. 😡,Anger,Negative
Everything felt respected.,Joy,Positive
The salad was fantastic but the pasta was pathetic.,Ambivalence,Neutral
The tour here is excellent.,Joy,Positive
What a magnificent day!!,Joy,Positive
Bitterly disappointed: the cake collapsed in the oven.,Disappointment,Negative
I felt irate today.,Anger,Negative
"The hotel is not impressive, sadly.",Disappointment,Negative
So let down today because my exam went terribly.,Disappointment,Negative
That was so agitating!,Disappointment,Negative
This lecture made everything easier.,Joy,Positive
Can't believe how poor the cashier turned out.,Disappointment,Negative
"The ice cream is not delightful, sadly.",Disappointment,Negative
My new phone does not work as advertised.,Disappointment,Negative
This sushi made everything more frustrating.,Disappointment,Negative
"I'm livid, the airline lost my luggage and just shrugged!",Anger,Negative
the waiter was careless but the customer care was incredible,Ambivalence,Neutral
everything felt sophisticated,Joy,Positive
What a glum day.,Sadness,Negative
I need to return the library books before the weekend.,Neutral,Neutral
The view was really disappointing.,Disappointment,Negative
My new laptop looks and works great.,Joy,Positive
The game made my day worse.,Disappointment,Negative
"It crashes every few minutes, total garbage. 😡",Disappointment,Negative
Feeling so sad today because the shop we loved closed down. 😡,Sadness,Negative
"Honestly, pretty distraught.",Sadness,Negative
I found the concert to be alright.,Ambivalence,Neutral
It was dignifying. #today,Joy,Positive
Can someone confirm whether the deadline has been extended to next week?,Curiosity,Neutral
It is a second tour.,Neutral,Neutral
can't believe how sturdy the laptop turned out,Joy,Positive
The team left a terrible impression. 😢,Disappointment,Negative
today i'm conflicted,Ambivalence,Neutral
The experience was raging.,Anger,Negative
I felt sweet today!!,Love,Positive
What a disturbing day.,Disappointment,Negative
The interview was jolly.,Joy,Positive
Do you know if the pharmacy is open on Thursday? #weekend,Curiosity,Neutral
The support team was mirthful. #thoughts,Joy,Positive
I feel afraid because of the reunion.,Fear,Negative
"The colours are vivid, couldn't be happier.",Joy,Positive
The package includes cloud backup and Windows.,Neutral,Neutral
"I'm happy with where I am, no rush, no pressure. #update",Contentment,Positive
i watched a documentary about the french revolution last night,Neutral,Neutral
Update: the backpack arrived earlier than promised.,Joy,Positive
I found the novel to be standard.,Ambivalence,Neutral
The journey made my day slower.,Disappointment,Negative
The city announced new recycling rules for the city centre.,Neutral,Neutral
standing tall today because i learned to swim at forty,Pride,Positive
The novel was not worth it.,Disappointment,Negative
i thought the concert was absolutely repetitive,Disappointment,Negative
Update: our flight boards at gate twelve.,Neutral,Neutral
I watched a documentary about coffee farming last night.,Neutral,Neutral
"overall, the documentary was so so",Ambivalence,Neutral
The latest movie made things easier.,Joy,Positive
The restaurant did a fantastic job.,Joy,Positive
i have to buy groceries on monday,Neutral,Neutral
It was troubling. 👎,Disappointment,Negative
"According to the schedule, the museum offers guided tours in the morning.",Neutral,Neutral
This is so sad today 😡,Sadness,Negative
The sandwich was not outstanding. #daily,Disappointment,Negative
This whole thing is just fascinating.,Joy,Positive
the store has a sale on books until saturday,Neutral,Neutral
I have to buy groceries on Thursday.,Neutral,Neutral
"Honestly, pretty indignant.",Anger,Negative
This whole thing is just dedicated.,Joy,Positive
We usually have lunch at five o'clock. #monday,Neutral,Neutral
This blender smells terrible.,Disappointment,Negative
Our customer care was average. #news,Ambivalence,Neutral
"The design is beautiful, five stars.",Joy,Positive
I found the ice cream to be bland. 😡,Disappointment,Negative
what an invincible day,Joy,Positive
How do I get to the clinic from the train stop?,Curiosity,Neutral
I'm optimistic about the interview tomorrow.,Hope,Positive
That was so terrifying! 😡,Fear,Negative
the film here is dreadful,Disappointment,Negative
"According to the schedule, the new timetable comes into effect in March.",Neutral,Neutral
The blender I ordered makes my life so much easier.,Joy,Positive
I can't believe how charming the campsite was!,Joy,Positive
This headset was full of mistakes.,Disappointment,Negative
super hyped because i ran the whole marathon,Excitement,Positive
i've been cleaning the house all afternoon,Neutral,Neutral
"The report includes three sections: background, methods and results. #mood",Neutral,Neutral
Not amazing: the burger.,Disappointment,Negative
"I'm frozen with dread, the doctor wants more tests!!",Fear,Negative
Gross! The smell from the garbage was unbearable.,Disgust,Negative
I'm working from home this week.,Neutral,Neutral
I'm optimistic about the audition on Friday.,Hope,Positive
Can't believe how exhausting the trip turned out.,Disappointment,Negative
"fyi, the presentation is about twenty minutes long",Neutral,Neutral
That was so dejected! 😡,Sadness,Negative
It is a old soup.,Neutral,Neutral
"Honestly, pretty crude!!",Disappointment,Negative
That was so terrified!,Fear,Negative
I thought the cake was absolutely very good. #thoughts,Joy,Positive
The ice cream was not worth it.,Disappointment,Negative
Feeling so sad today because our family drifted apart.,Sadness,Negative
The book was slow and full of bugs.,Disappointment,Negative
"Honestly, the staff was pretty fine.",Ambivalence,Neutral
What an irresponsible day.,Anger,Negative
It was beautiful.,Joy,Positive
Many thanks!,Gratitude,Positive
The cashier was not dreadful at all.,Joy,Positive
"Feeling isolated, having no one to share good news with.",Loneliness,Negative
"So nervous, the flight is taking off soon and I hate flying.",Fear,Negative
The match was so really bad! #daily,Disappointment,Negative
"Sick of this, my manager blamed me for his mistake. Total disrespect!!",Anger,Negative
My brother works in finance. #monday,Neutral,Neutral
"The sound is crystal clear, couldn't be happier.",Joy,Positive
"Battery drains within a couple of hours, completely useless.",Disappointment,Negative
i thought the training was absolutely fine,Ambivalence,Neutral
Boring course: I learned nothing new! #monday,Disappointment,Negative
"surprisingly, the waiter was not dismissive at all",Joy,Positive
the campsite was not worth it,Disappointment,Negative
The latest trip made things better.,Joy,Positive
The customer care was awesome but the support team was very poor.,Ambivalence,Neutral
Update: the phone has been flawless so far. 👍,Joy,Positive
"Delivery took three weeks, so frustrating. #news",Disappointment,Negative
Can't express how proud I am that my painting sold at the exhibition. #update,Pride,Positive
"Not overpriced at all, genuinely enjoyed it. #thoughts",Joy,Positive
I can't believe how dismissive the technician was. 😡,Anger,Negative
Can't believe how perfectly cooked the coffee turned out.,Joy,Positive
I'm so disappointed that the restaurant lost our reservation. #today,Disappointment,Negative
Can't stop smiling because I learned to swim at forty.,Joy,Positive
That was so crushed!,Sadness,Negative
How do they build skyscrapers so quickly?,Curiosity,Neutral
the next train to lisbon departs at half past four,Neutral,Neutral
I can't believe how bad the tour was.,Disappointment,Negative
"You're my person, and I fall for you more each day.",Love,Positive
"Calm and cozy today, watching the rain from the porch.",Contentment,Positive
they mentioned the pizza in the newsletter,Neutral,Neutral
This museum made everything clunkier.,Disappointment,Negative
One star for the burger. 😢,Disappointment,Negative
What a rejected day.,Loneliness,Negative
omg i learned to swim at forty,Excitement,Positive
"I liked the event, but the commute was frustrating.",Ambivalence,Neutral
The latest play made things slower.,Disappointment,Negative
"My heart is pounding, the exam is tomorrow and I'm not ready. 😤",Fear,Negative
the game looked full,Neutral,Neutral
what a wonderful day! my son graduated with honours,Joy,Positive
I can't believe how horrible the class was.,Disappointment,Negative
Can't stop smiling because my code finally worked.,Joy,Positive
I keep asking myself what is inside a black hole. #thoughts,Curiosity,Neutral
Can't believe how disappointing the album turned out. 😡,Disappointment,Negative
Can't believe how perfect the laptop turned out.,Joy,Positive
The steak was first class.,Joy,Positive
The next ferry to Chicago departs at half past four.,Neutral,Neutral
"Thank you, stranger, for returning my phone. You restored my faith in people.",Gratitude,Positive
We are reviewing the draft and will get back to you.,Neutral,Neutral
The doctor wants more tests and I'm shaking with fear. 😡,Fear,Negative
"Support replied instantly, five stars.",Joy,Positive
we are having dinner at nine in the morning,Neutral,Neutral
It was direful.,Disappointment,Negative
I felt intimidated today. 😤,Fear,Negative
I feel relaxed because of our move.,Contentment,Positive
The battery was really underwhelming.,Disappointment,Negative
The event was slow and full of scratches. 👎,Disappointment,Negative
my new drone is made of stainless steel,Neutral,Neutral
The latest software made things worse.,Disappointment,Negative
Would not recommend the headset.,Disappointment,Negative
"Thank you all, I ran my first ten kilometres and I owe it to you.",Gratitude,Positive
"Retirement has its ups and downs, I can't decide.",Ambivalence,Neutral
I bought this headset last week and it looks and works great.,Joy,Positive
The camera was so lousy!,Disappointment,Negative
I keep asking myself how sourdough bread is made. #mood,Curiosity,Neutral
This view was full of energy.,Joy,Positive
The movie was really tedious.,Disappointment,Negative
The phone rang at 3 am and my heart sank with fear.,Fear,Negative
This water bottle feels premium.,Joy,Positive
That was so beneficial!,Joy,Positive
Fingers crossed for the peace talks! #life,Hope,Positive
"So much joy today, I passed my driving test.",Joy,Positive
No complaints about the screen at all.,Joy,Positive
"Honestly, pretty clever.",Joy,Positive
The album was neither fabulous nor abysmal.,Ambivalence,Neutral
I was disgusted by the way they treated the animals.,Disgust,Negative
i've been wondering what is inside a black hole,Curiosity,Neutral
"That is disgusting, I found mould in the fridge.",Disgust,Negative
Can't express how proud I am that I got promoted today.,Pride,Positive
the sandwich was awful tbh,Disappointment,Negative
"I'm thrilled, we adopted a puppy! What's next?",Excitement,Positive
The show was the worst part of my week.,Disappointment,Negative
I keep asking myself what lives at the bottom of the ocean.,Curiosity,Neutral
Can't believe how atrocious the lecture turned out.,Anger,Negative
"I expected so much more, but my flight got cancelled.",Disappointment,Negative
The screen is full of life.,Joy,Positive
This salad was full of complaints.,Disappointment,Negative
i can't believe we're actually going skydiving this weekend,Excitement,Positive
what a sinister day,Fear,Negative
"honestly, pretty compassionate",Joy,Positive
"I adore my partner, always will. 👍",Love,Positive
This customer care made everything much nicer. #monday,Joy,Positive
"The best class ever, hands down. 🎉",Joy,Positive
"I liked the waiter, but the service was bad.",Ambivalence,Neutral
